体育直播,#genre#

央视频道,#genre#
CCTV-1综合,http://111.0.27.31/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV-1综合,http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221226316/index.m3u8
CCTV-1综合,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221227462/index.m3u8
CCTV-1综合,http://223.110.245.170/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8
CCTV-1综合,http://223.110.245.170/ott.js.chinamobile.com/PLTV/3/224/3221226316/index.m3u8
CCTV-1综合,http://hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221225977/index.m3u8
CCTV-1综合,http://112.17.40.140/PLTV/88888888/224/3221226541/index.m3u8
CCTV-1综合,http://112.17.40.140/PLTV/88888888/224/3221226154/index.m3u8
CCTV-1综合,http://183.207.249.9/PLTV/3/224/3221225530/index.m3u8
CCTV-1综合,http://112.17.40.140/PLTV/88888888/224/3221226527/index.m3u8
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225587/index.m3u8
CCTV-2财经,http://111.0.27.31/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-2财经,http://223.110.245.170/ott.js.chinamobile.com/PLTV/3/224/3221227207/index.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-2财经,http://112.17.40.140/PLTV/88888888/224/3221226138/index.m3u8
CCTV-2财经,http://112.17.40.140/PLTV/88888888/224/3221226468/index.m3u8
CCTV-2财经,http://wxcnlive.videocc.net/vod1/cctv2169/01.m3u8?wsSecret=0f883c8649a6b883016f6408d7c80f9d&wsTime=1509347397
CCTV-3综艺,http://111.0.27.31/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV-3综艺,http://112.17.40.140/PLTV/88888888/224/3221226485/index.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/index.m3u8
CCTV-3综艺,http://183.207.249.5/PLTV/3/224/3221225588/index.m3u8
CCTV-3综艺,http://112.17.40.140/PLTV/88888888/224/3221226431/index.m3u8
CCTV-4中文国际,http://111.0.27.31/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225590/index.m3u8
CCTV-4中文国际,http://112.17.40.140/PLTV/88888888/224/3221226171/index.m3u8
CCTV-5体育,http://111.0.27.31/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV-5体育,http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221227401/index.m3u8
CCTV-5体育,http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221227401/1.m3u8
CCTV-5体育,http://112.17.40.140/PLTV/88888888/224/3221226556/index.m3u8
CCTV-5体育,http://112.17.40.140/PLTV/88888888/224/3221226400/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/index.m3u8
CCTV-5体育,http://112.17.40.140/PLTV/88888888/224/3221226554/index.m3u8
CCTV-5体育,http://112.17.40.140/PLTV/88888888/224/3221226560/index.m3u8
CCTV-5体育,http://112.17.40.140/PLTV/88888888/224/3221226562/index.m3u8
CCTV-5+体育赛事,http://111.0.27.31/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-5+体育赛事,http://112.17.40.140/PLTV/88888888/224/3221226406/index.m3u8
CCTV-5+体育赛事,http://112.17.40.140/PLTV/88888888/224/3221226166/index.m3u8
CCTV-5+体育赛事,http://117.169.120.132:8080/live/hdcctv05plus/playlist.m3u8
CCTV-5+体育赛事,http://183.207.249.14/PLTV/3/224/3221225604/index.m3u8
CCTV-6电影,http://111.0.27.31/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8
CCTV-6电影,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225548/index.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/index.m3u8
CCTV-6电影,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221227209/index.m3u8
CCTV-6电影,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221227301/index.m3u8
CCTV-6电影,http://223.110.245.172:80/PLTV/3/224/3221225548/index.m3u8
CCTV-6电影,http://183.207.249.15/PLTV/3/224/3221225548/index.m3u8
CCTV-6电影,http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8
CCTV-6电影,http://112.17.40.140/PLTV/88888888/224/3221226487/index.m3u8
CCTV-7国防军事,http://111.0.27.31/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV-7国防军事,http://111.40.205.86/PLTV/88888888/224/3221225733/index.m3u8
CCTV-7国防军事,http://112.17.40.140/PLTV/88888888/224/3221226122/index.m3u8
CCTV-7国防军事,http://112.17.40.140/PLTV/88888888/224/3221226470/index.m3u8
CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225593/index.m3u8
CCTV-8电视剧,http://111.0.27.31/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV-8电视剧,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221227204/index.m3u8
CCTV-8电视剧,http://223.110.245.155/ott.js.chinamobile.com/PLTV/3/224/3221227304/index.m3u8
CCTV-8电视剧,http://223.110.245.170/ott.js.chinamobile.com/PLTV/3/224/3221227204/index.m3u8
CCTV-8电视剧,http://223.110.245.170/ott.js.chinamobile.com/PLTV/3/224/3221227205/index.m3u8
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225608/index.m3u8
CCTV-8电视剧,http://183.207.248.12/PLTV/3/224/3221227204/index.m3u8
CCTV-8电视剧,http://117.169.120.132:8080/live/cctv-8/playlist.m3u8
CCTV-8电视剧,http://112.17.40.140/PLTV/88888888/224/3221226330/index.m3u8
CCTV-8电视剧,http://112.17.40.140/PLTV/88888888/224/3221226493/index.m3u8
CCTV-9纪录,http://112.17.40.140/PLTV/88888888/224/3221226156/index.m3u8
CCTV-9纪录,http://111.0.27.31/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV-9纪录,http://112.17.40.140/PLTV/88888888/224/3221226561/index.m3u8
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225595/index.m3u8
CCTV-9纪录,http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225868/index.m3u8
